Nation                                       Continent           Population          Area                

Peru                                         South America       30.10               496226.00           
Czech Republic                               Europe              10.60               30450.00            
Panama                                       North America       3.60                29157.00            
Namibia                                      Africa              2.20                318696.00           
Qatar                                        Asia                2.10                4416.00             
Slovenia                                     Europe              2.00                7827.00             
France                                       Europe              66.30               211209.00           
Fiji                                         Australia/Oceania   0.90                7056.00             
Azerbaijan                                   Asia                9.70                33436.00            
Sweden                                       Europe              9.70                173732.00           
Jordan                                       Asia                7.90                45495.00            
Paraguay                                     South America       6.70                157048.00           
Algeria                                      Africa              38.30               919595.00           
United Republic of Tanzania                  Africa              50.00               364898.00           
Sudan                                        Africa              35.50               967495.00           
Argentina                                    South America       44.00               1068302.00          
Mauritania                                   Africa              3.50                397954.00           
Vietnam                                      Asia                93.40               128527.00           
Kuwait                                       Asia                2.70                6880.00             
Papua New Guinea                             Australia/Oceania   6.60                178703.00           
Nicaragua                                    North America       6.10                50193.00            
Comoros                                      Africa              0.77                863.00              
Jamaica                                      North America       2.90                4444.00             
Palau                                        Australia/Oceania   0.02                177.00              
Norway                                       Europe              5.10                148746.00           
Australia                                    Australia/Oceania   22.50               2967909.00          
Brazil                                       South America       202.70              3287597.00          
Cambodia                                     Asia                15.50               69898.00            
Senegal                                      Africa              13.60               76000.00            
Honduras                                     North America       8.60                43278.00            
Morocco                                      Africa              33.00               172414.00           
Maldives                                     Asia                0.39                115.00              
Togo                                         Africa              7.40                21925.00            
Bolivia                                      South America       10.60               424163.00           
Syrian Arab Republic                         Asia                18.00               71479.00            
Eritrea                                      Africa              6.30                45405.00            
Swaziland                                    Africa              1.40                6704.00             
Djibouti                                     Africa              0.81                8958.00             
Russian Federation                           Europe              142.50              6592800.00          
South Africa                                 Africa              48.40               471443.00           
Spain                                        Europe              47.70               195364.00           
Saint Kitts and Nevis                        North America       0.05                101.00              
Romania                                      Europe              21.70               92043.00            
Chile                                        South America       17.40               292183.00           
Albania                                      Europe              3.00                11100.00            
Croatia                                      Europe              4.50                21831.00            
Republic of the Congo                        Africa              4.70                132047.00           
Belize                                       North America       0.34                8867.00             
Micronesia                                   Australia/Oceania   0.11                271.00              
Somalia                                      Africa              10.40               246201.00           
Finland                                      Europe              5.30                130596.00           
Kiribati                                     Australia/Oceania   0.10                280.00              
Dominican Republic                           North America       10.40               18704.00            
Cape Verde                                   Africa              0.54                1557.00             
Madagascar                                   Africa              23.20               226597.00           
Andorra                                      Europe              0.09                181.00              
